pais_codigo,pais_nombre,anio,crecimiento_pib_pct,pib_per_capita_usd,crecimiento_pib_pc_pct,inflacion_pct,desempleo_pct,exportaciones_pct_pib,importaciones_pct_pib,pib_usd,fecha_extraccion,region,es_colombia
BR,Brazil,2018,1.7837,9300.6607,1.0904,3.6649,12.329,14.635,14.2412,1916933708352.71,2026-03-04T15:35:21.731026,América Latina,False
BR,Brazil,2019,1.2208,9029.833,0.563,3.733,11.936,14.1229,14.7673,1873288158838.63,2026-03-04T15:35:21.731026,América Latina,False
BR,Brazil,2020,-3.2768,7074.1941,-3.8355,3.2118,13.697,16.4536,15.8485,1476107292151.95,2026-03-04T15:35:21.731026,América Latina,False
BR,Brazil,2021,4.7626,7972.537,4.3179,8.3017,13.158,19.1094,18.5469,1670647464062.96,2026-03-04T15:35:21.731026,América Latina,False
BR,Brazil,2022,3.0167,9281.3328,2.6463,9.2801,9.231,19.6308,19.1853,1951923832083.87,2026-03-04T15:35:21.731026,América Latina,False
BR,Brazil,2023,3.2417,10377.5898,2.8337,4.5936,7.947,17.9693,15.6969,2191131869706.02,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2000,,5052.9925,3.7236,3.8433,10.491,30.1238,28.5882,78339750721.364,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2001,,4563.5953,1.9688,3.5691,10.39,31.8473,30.2975,71574739561.4329,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2002,,4430.8474,2.0699,2.4894,10.168,32.2572,30.2266,70264045939.2773,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2003,,4773.4018,3.633,2.8102,9.765,35.061,30.6324,76492579644.0605,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2004,,6120.5915,5.6029,1.0547,10.162,39.6857,30.2036,99075985773.6682,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2005,,7480.3233,4.7918,3.0526,9.34,40.1756,31.887,122294145163.192,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2006,,9318.6566,5.0195,3.392,9.024,43.8657,29.846,153843518170.864,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2007,,10346.4138,4.1439,4.4078,8.427,45.1299,31.8472,172491076033.863,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2008,,10683.2189,2.7576,8.7163,9.285,41.1626,39.5141,179894594475.405,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2009,,10098.8017,-2.1106,0.353,11.313,37.1156,29.5704,171777900623.892,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2010,,12632.8705,4.7936,1.4107,8.547,37.904,31.8137,217051209238.534,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2011,,14487.3928,5.181,3.3412,7.492,37.6898,34.7919,251382573893.87,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2012,,15241.907,5.1416,3.0074,6.79,33.8456,34.3106,267024782486.855,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2013,,15683.5486,2.3279,1.7896,6.361,32.0875,33.0558,277395018842.417,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2014,,14529.6767,0.783,4.7187,6.761,33.0039,32.6307,259560978224.359,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2015,,13433.9203,1.1137,4.3488,6.605,29.1911,30.158,242450355830.884,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2016,,13649.852,0.5298,3.7862,6.926,27.9232,28.1347,249344863928.438,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2017,,14879.9086,-0.2351,2.1827,7.257,28.3314,27.6948,276154259981.097,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2018,,15659.4809,2.1499,2.4349,7.623,28.529,29.648,295857562991.709,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2019,,14495.7167,-0.9621,2.5575,7.493,27.8747,29.7371,278285058719.466,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2020,,13114.8155,-6.9811,3.0455,10.934,31.3304,26.8525,254042159309.311,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2021,,16206.8325,10.8246,4.5246,9.281,31.9928,32.8846,315325547162.072,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2022,,15405.6166,1.6488,11.6439,8.249,35.6066,39.595,301226575540.242,2026-03-04T15:35:21.731026,América Latina,False
CL,Chile,2023,,17067.0365,-0.0196,7.5817,9.013,30.8111,29.9137,335518054097.637,2026-03-04T15:35:21.731026,América Latina,False
CO,Colombia,2000,2.9249,2555.0075,1.2527,9.2253,20.52,15.9151,16.7519,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2001,1.6779,2472.9908,0.0921,7.9656,15.04,15.3871,18.514,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2002,2.504,2428.9297,0.9396,6.3515,14.481,14.8156,18.1671,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2003,3.9183,2311.9422,2.3628,7.1298,13.221,16.5753,19.9409,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2004,5.333,2818.572,3.7972,5.904,13.717,16.7708,19.0927,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2005,4.8288,3456.0661,3.3711,5.051,11.062,16.971,20.4517,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2006,6.7169,3789.8536,5.3117,4.2934,11.088,17.7286,21.9128,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2007,6.7382,4769.9261,5.3945,5.5444,11.204,16.4331,20.6658,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2008,3.2834,5541.8363,2.048,6.9969,11.273,18.1096,21.0581,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2009,1.1396,5250.9729,-0.0317,4.2025,12.066,16.4245,18.7316,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2010,4.4947,6398.2958,3.3143,2.272,11.153,16.3408,17.9238,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2011,6.9479,7400.9941,5.8082,3.415,10.288,19.2765,20.1939,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2012,3.9126,8108.5984,2.8757,3.1693,9.959,18.8112,20.0239,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2013,5.134,8279.1026,4.1413,2.017,9.246,18.0864,19.9002,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2014,4.499,8187.2082,3.5703,2.8988,8.799,16.6347,20.8527,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2015,2.9559,6248.5149,2.0692,4.9898,8.572,15.6502,22.7106,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2016,2.0874,5959.8425,1.0811,7.5135,8.922,14.7171,21.4855,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2017,1.3594,6479.5323,-0.1012,4.3143,9.086,15.1453,20.1376,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2018,2.5643,6816.9682,0.6953,3.2406,9.36,15.8997,20.635,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2019,3.1869,6472.5454,1.3601,3.523,10.28,15.868,21.6905,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2020,-7.1859,5339.6871,-8.5095,2.5266,15.983,13.5223,20.5333,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2021,10.8012,6222.6216,9.593,3.4951,13.898,16.197,23.8621,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2022,7.3283,6680.4451,6.1878,10.1772,10.541,20.3884,27.8943,,2026-03-04T15:35:21.731026,América Latina,True
CO,Colombia,2023,0.7124,7000.8366,-0.4102,11.7359,9.591,17.8317,22.5565,,2026-03-04T15:35:21.731026,América Latina,True
MX,Mexico,2000,5.0293,7524.0271,3.4214,9.4916,,24.2312,25.6792,742061329749.127,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2001,-0.4508,7952.7648,-1.9163,6.3677,,21.5412,23.1989,796064590549.136,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2002,-0.2366,7983.034,-1.6606,5.0307,,21.8518,23.3581,810666116401.915,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2003,1.1855,7434.0746,-0.2195,4.5469,,23.6556,25.0448,765549967703.273,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2004,3.5654,7849.6676,2.1611,4.6884,,25.1034,26.9373,819459227375.022,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2005,2.1132,8671.7589,0.7454,3.9881,,25.4871,27.0756,917571853529.104,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2006,4.805,9512.6358,3.3958,3.6295,,26.5547,27.9274,1020265057882.01,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2007,2.0779,10134.3327,0.6508,3.9668,,26.7811,28.4775,1102355554971.95,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2008,0.9433,10523.7685,-0.5199,5.125,,27.0201,29.3452,1161553459715.1,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2009,-6.2953,8423.5693,-7.6552,5.2974,,26.5133,28.0785,943437415024.633,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2010,4.9713,9728.8008,3.4708,4.1567,,29.0175,30.2559,1105424238731.09,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2011,3.444,10664.4944,1.9903,3.4074,,30.443,31.7194,1229013703416.76,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2012,3.5532,10744.1335,2.1573,4.1115,,31.5395,32.7185,1255110424817.79,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2013,0.8521,11216.8009,-0.4478,3.8064,,30.7558,31.9359,1327436290282.67,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2014,2.5038,11391.3773,1.2709,4.0186,,31.463,32.6354,1364507717614.13,2026-03-04T15:35:21.731026,América Latina,False
