ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo
Bogota,Colombia,4.600,-74.083,17,17,83,8,Partly cloudy,2026-03-02T19:30:30.118269,116
Medellin,Colombia,6.291,-75.536,24,27,69,5,Partly cloudy,2026-03-02T19:30:33.394298,116
Cali,Colombia,3.437,-76.523,27,32,66,7,Overcast,2026-03-02T19:30:36.158862,122
Barranquilla,Colombia,10.964,-74.796,28,33,74,38,Clear ,2026-03-02T19:30:39.128271,113
Cartagena,Colombia,10.400,-75.514,29,35,70,35,Partly cloudy,2026-03-02T19:30:43.224245,116
