pais_codigo,pais_nombre,anio,pib_usd,crecimiento_pib_pct,pib_per_capita_usd,inflacion_pct,desempleo_pct,exportaciones_pct_pib,importaciones_pct_pib,fecha_extraccion,region,es_colombia
AR,Argentina,2000,284203750000.0,-0.78899893905691,7637.01489203628,,15.0,10.9863752325576,11.6360695451767,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2001,268696750000.0,-4.40883968258557,7141.47507662826,,17.32,11.5790080825317,10.2732473690136,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2002,97724004251.8602,-10.8944848285903,2569.69963519124,,19.59,28.3825969991682,13.370127359396,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2003,127586973492.177,8.83704079576924,3320.47775133903,,15.36,25.9309429264224,14.7138051046861,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2004,164657930452.787,9.02957330068152,4242.02099089422,,13.522,23.8476194239892,16.8450266849578,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2005,198737095012.282,8.85165992013437,5067.65342293276,,11.506,23.2458767338576,17.3053942367662,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2006,232557260817.308,8.04715150043027,5869.38028970204,,10.078,23.0266946038115,17.4067852681036,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2007,287530508430.568,9.00765087504757,7185.25155147027,,8.47,22.6627503115066,18.2824203070644,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2008,361558037110.419,4.05723310346406,8944.1102657357,,7.837,22.0609003826242,18.341772996414,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2009,332976484577.619,-5.91852507634947,8150.23527028221,,8.645,19.5609850560818,14.4961418494061,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2010,423627422092.49,10.1253981561002,10260.1313108254,,7.714,18.9338234053709,16.0371898581987,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2011,530158122010.442,6.00395169280579,12704.2831819684,,7.18,18.4492091453155,16.7569458546489,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2012,545982375701.128,-1.0264204544321,12949.717486654,,7.217,16.2378594620246,14.2886829096862,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2013,552025140252.246,2.40532378079436,12963.675773326,,7.1,14.6171733884386,14.7167556136651,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2014,526319673731.638,-2.51261532081394,12233.1444119186,,7.268,14.4054785893756,14.0013150558519,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2015,594749285413.212,2.73115982828944,13679.6264980954,,7.577,10.7056520504538,11.7805740385254,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2016,557532320662.955,-2.08032784377811,12699.9623137756,,8.088,12.5270951690009,13.5667926798789,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2017,643628393281.364,2.81850297775918,14532.5009308511,,8.347,11.3202833596733,13.9693177780045,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2018,524819892360.176,-2.61739646282038,11752.7998922979,34.2772237131003,9.22,14.4366857499034,16.3258502050892,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2019,447754683615.225,-2.00086100285785,9955.97478680428,53.5483043492339,9.843,17.9248783778462,14.7057366680037,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2020,385740508436.965,-9.9004848136464,8535.59938004389,42.0150947376509,11.461,16.6054144372484,13.5982843701675,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2021,486564085480.036,10.4418119882506,10738.0179223384,48.4093786255199,8.736,18.0667091690365,15.0119803984295,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2022,633993756301.08,6.02074537534855,13962.1894087223,72.430757531824,6.805,16.2816677253254,15.2985115353002,2026-03-05T21:35:13.377882,América Latina,False
AR,Argentina,2023,649461687959.174,-1.85578803046339,14261.8465667948,133.488935594175,6.139,12.8223120961047,13.8546391521167,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2000,,4.38794944364869,3766.54786339835,7.04414105947266,10.889,10.1880480058491,12.4517133531264,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2001,,1.3898964044581,3176.28975052524,6.84035902487523,10.649,12.3717106723871,14.5645743525559,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2002,,3.05346185683619,2855.94017137049,8.45016437708331,10.641,14.2305902741157,13.3877671336016,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2003,,1.14082899877101,3090.6068907839,14.7149197228147,11.168,15.1807837057459,12.959601015803,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2004,,5.75996463685998,3663.82262497811,6.59718509985963,10.072,16.5457615138976,13.1324909664519,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2005,,3.20213206216255,4827.78165890291,6.86953720898964,10.551,15.2438292651669,11.842965940081,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2006,,3.96198870899485,5934.14561857454,4.18356812896909,9.692,14.3743163021339,11.6673835858106,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2007,,6.06987060733128,7409.69003822861,3.64127299102652,9.28,13.3276751043,11.9649362714806,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2008,,5.09419544811998,8908.33338467948,5.67859390284168,8.268,13.534000513391,13.7235689032042,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2009,,-0.12581200299141,8678.6584730653,4.88803479876799,9.419,10.8513711350383,11.2546044710328,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2010,,7.52822581812151,11403.2840038694,5.03872690108075,8.42,10.8655847760176,11.9065933372032,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2011,,3.97442307944702,13396.6263158041,6.6364496221309,7.578,11.5825126792652,12.3518924972451,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2012,,1.92117598509462,12521.7238454434,5.40349914036997,7.251,11.8775390706917,13.2367345396404,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2013,,3.0048226702888,12458.8903396625,6.20431066640101,7.071,11.7422306467311,14.0437266814141,2026-03-05T21:35:13.377882,América Latina,False
BR,Brazil,2014,,0.503955740273241,12274.9941630213,6.32904015516139,6.755,11.0119428189165,13.6734629943755,2026-03-05T21:35:13.377882,América Latina,False
